title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
Kenya Kiambu Mandela Estate AA Washed Process,Buon Caffe,94,"Taipei, Taiwan","Kiambu County, south-central Kenya",Medium-Light,60/77,NT $349/8 ounces,March 2023,9,9,9,9,8,,
Ethiopia Yirgacheffe Konga Washed Process,Buon Caffe,93,"Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Light,62/81,NT $349/8 ounces,March 2023,9,9,8,9,8,,
Ethiopia Guji Bule Hora Blue Nile Natural,Buon Caffe,90,"Taipei, Taiwan","Odo Shakiso District, Guji Zone, southern Ethiopia",Medium-Light,54/84,NT $369/8 ounces,March 2023,8,8,8,8,8,,
Kenya Gichathaini,Temple Coffee,94,"Sacramento, California","Mathira West District, Nyeri growing region, Kenya",Light,64/82,$25.00/12 ounces,February 2023,9,9,9,9,8,,
Guatemala Retiro del Quisaya Natural Process,Durango Coffee Company,94,"Durango, Colorado","San Martin Jilotepeque, Chimaltenango Department, Guatemala",Medium-Light,59/78,$18.95/12 ounces,February 2023,9,9,9,9,8,,
Ethiopia Sidama Karamo Anaerobic Natural,RamsHead Coffee Roasters,94,"Bozeman, Montana","Sidamo growing region, south-central Ethiopia.",Medium-Light,62/79,$35.00/12 ounces,February 2023,9,9,9,9,8,,
Colombia Geiner Montano,Temple Coffee,94,"Sacramento, California","Huila Department, Colombia",Medium-Light,62/78,$24.50/12 ounces,February 2023,9,9,9,9,8,,
Guatemala Retiro del Quisaya Washed Process,Durango Coffee Company,93,"Durango, Colorado","San Martin Jilotepeque, Chimaltenango Department, Guatemala",Medium-Light,58/76,$18.95/12 ounces,February 2023,9,9,8,9,8,,
Papua New Guinea Kagamuga Natural,Rusty Dog Coffee,91,"Madison, Wisconsin","Jikawa Province, Papua New Guinea",Medium-Light,61/78,$18.25/12 ounces,February 2023,9,8,8,9,7,,
Kabiufa Papua New Guinea,JBC Coffee Roasters,94,"Madison, Wisconsin","Kabiufa, Eastern Highlands, Papua New Guinea",Medium-Light,58/77,$20.00/12 ounces,February 2023,9,,9,9,8,9,
Ka‘u Red Catuai Peaberry,Paradise Roasters,94,"Hilo, Hawaii","Ka‘u growing region, Big Island of Hawai’i",Medium-Light,59/74,$30.00/4 ounces,February 2023,9,9,9,9,8,,
El Venado Costa Rica Yellow Honey SL28,JBC Coffee Roasters,93,"Madison, Wisconsin","West Valley growing region, Costa Rica",Medium-Light,60/76,$20.00/8 ounces,February 2023,9,,9,9,8,8,
Katana DR Congo Natural,JBC Coffee Roasters,92,"Madison, Wisconsin","Kabare, South Kivu Province, Democratic Republic of the Congo",Medium-Light,58/74,$18.00/12 ounces,February 2023,8,,8,9,8,9,
Ethiopia Kayon Mountain,Roadmap CoffeeWorks,94,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Light,64/82,$20.95/12 ounces,February 2023,9,9,9,9,8,,
El Salvador El Mirador,Roadmap CoffeeWorks,93,"Lexington, Virginia","Apaneca-Ilamatepec growing region, El Salvador",Medium-Light,60/77,$20.95/12 ounces,February 2023,9,8,9,9,8,,
Kenya Gaturiri,Durango Coffee Company,93,"Durango, Colorado","Kiambu County, Kenya",Medium-Light,57/74,$19.95/12 ounces,February 2023,9,9,8,9,8,,
Guatemala El Milagro Bourbon Especial,PT's Coffee Roasting Co.,95,"Topeka, Kansas","Huehuetenango, Guatemala",Medium-Light,60/78,$28.00/12 ounces,January 2023,9,9,9,9,9,,
Philippines Sitio Belis Garnica,Mostra Coffee,93,"San Diego, California","Atok Benguet, northern Philippines",Medium-Light,60/78,$30.00/12 ounces,January 2023,9,9,8,9,8,,
Colombia Sergio Roldan,Mostra Coffee,93,"San Diego,  California","Urrao, Antioquia, Colombia",Medium-Light,62/78,$25.00/12 ounces,January 2023,9,8,9,9,8,,
Philippines Sitio Kisbong Anaerobic Natural,Mostra Coffee,92,"San Diego, California","Atok Benguet, northern Philippines",Medium-Light,60/77,$17.50/6 ounces,January 2023,9,8,9,9,7,,
Philippines Sitio Kisbong #3011 Experimental Wine Yeast,Mostra Coffee,92,"San Diego, California","Atok Benguet, northern Philippines",Medium-Light,59/76,$17.50/6 ounces,January 2023,8,8,9,9,8,,
Ethiopia Duromina Agaro Gera,Northbound Coffee Roasters,94,"Mount Shasta, California","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Light,62/81,$17.00/12 ounces,January 2023,9,9,9,9,8,,
Guatemala Flor del Café,Northbound Coffee Roasters,93,"Mount Shasta, California","Agua Dulce, Cuilco, Huehuetenango, Guatemala",Medium-Light,59/77,$17.00/12 ounces,January 2023,9,8,9,9,8,,
Laura’s Reserve SL34,Hula Daddy Kona Coffee,96,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,60/80,$69.95/8 ounces,January 2023,9,9,9,10,9,,
El Salvador 2022 COE#17 El Mirador Washed Gesha,Kakalove Cafe,96,"Chia-Yi, Taiwan","Apaneca-Ilamatepec, El Salvador",Medium-Light,58/78,NT $500/4 ounces,January 2023,9,,9,9,9,10,
Panama ABU Washed Gesha Lot GW57,Kakalove Cafe,95,"Chia-Yi, Taiwan","Cañas Verdes, Boquete growing region, western Panama",Light,64/84,"NT $1,000/4 ounces",January 2023,9,9,9,9,9,,
Guatemala Natural El General Bistro Lot Espresso,Kakalove Cafe,94,"Chia-Yi, Taiwan","Acatenango, Chimaltenango, Guatemala",Medium-Light,58/76,NT $290/8 ounces,January 2023,9,,9,9,8,9,
Ethiopia 2022 COE#25 Natural Tadesse 74112,Kakalove Cafe,94,"Chia-Yi, Taiwan","Gedeo Zone, SNNPR, southern Ethiopia",Light,65/84,NT $450 /4 ounces,January 2023,9,9,9,9,8,,
Ethiopia Washed Sidama Rumudamo,Kakalove Cafe,94,"Chia-Yi, Taiwan","Arbegona, Sidamo growing region, south-central Ethiopia",Light,64/86,NT $390/8 ounces,January 2023,9,9,9,9,8,,
Hey Much Espresso,Kakalove Cafe,93,"Chia-Yi, Taiwan",Guatemala; Honduras; Colombia,Medium-Light,60/77,NT $225/8 ounces,January 2023,8,,9,9,8,9,
Colombia Geisha Nariño Buenos Aires,RamsHead Coffee Roasters,93,"Bozeman, Montana","Nariño Department, southern Colombia",Medium-Light,61/76,$45.00/12 ounces,January 2023,9,9,8,9,8,,
Honduras La Lesquiñada SOE,Temple Coffee,92,"Sacramento, California","Corquin, Honduras",Medium-Light,57/73,$22.00/12 ounces,January 2023,8,8,9,9,8,,
Guatemala Hunapu,Temple Coffee,92,"Sacramento, California","Antigua, Guatemala",Medium-Light,59/75,$22.00/12 ounces,January 2023,9,8,8,9,8,,
Wilton Benitez Orange Bourbon,JBC Coffee Roasters,96,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Light,60/82,$19.00/8 ounces,January 2023,9,9,10,10,8,,
Kayon Mountain Ethiopia,JBC Coffee Roasters,94,"Madison, Wisconsin","Odo Shakiso District, Guji Zone, southern Ethiopia",Medium-Light,58/78,$18.00/12 ounces,January 2023,9,9,9,9,8,,
Colombia Pink Bourbon,Mystic Monk Coffee,93,"Clark, Wyoming","Sur de Huila, Huila Department, Colombia",Medium-Light,56/70,$15.95/12 ounces,January 2023,9,9,8,9,8,,
Kenya Teremuka AB,RamsHead Coffee Roasters,92,"Bozeman, Montana","Nakuru County, Kenya",Medium-Light,58/77,$19.00/12 ounces,January 2023,9,8,8,9,8,,
Colombia Granja Paraíso Java P14,Paradise Roasters,95,"Minneapolis, Minnesota","Cauca Department, Colombia",Light,64/82,$50.00/4 ounces,December 2022,9,9,9,9,9,,
Burundi,Mystic Monk Coffee,93,"Clark, Wyoming",Burundi,Medium-Light,56/74,$15.95/12 ounces,December 2022,9,8,9,9,8,,
Nyeri Hill Kenya,JBC Coffee Roasters,94,"Madison, Wisconsin","Nyeri growing region, south-central Kenya",Medium-Light,58/80,$22.00/12 ounces,December 2022,9,9,9,9,8,,
Chelbessa Ethiopia,JBC Coffee Roasters,94,"Madison, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Medium-Light,60/78,$20.00/12 ounces,December 2022,9,9,9,9,8,,
Monte Alban Mexico,JBC Coffee Roasters,93,"Madison, Wisconsin","Yautepec, Miahuatlán, Oaxaca State, Mexico",Medium-Light,58/77,$20.00/12 ounces,December 2022,9,8,9,9,8,,
Colombia Granja Paraiso Decaf,Paradise Roasters,93,"Minneapolis, Minnesota","Valle del Cauca Department, Colombia",Medium-Light,62/78,$30.00/12 ounces,December 2022,9,8,9,9,8,,
Philippines Sitio San Roque Robusta Anaerobic Natural,Paradise Roasters,91,"Minneapolis, Minnesota","Bukidnon, Mindanao, Philippines",Medium,50/64,$30.00/12 ounces,December 2022,8,,8,9,7,9,
Ka’u Tropical Punch,Paradise Roasters,94,"Minneapolis, Minnesota","Ka'u growing region, Big Island of Hawai’i",Medium-Light,60/78,$25.00/4 ounces,December 2022,9,9,9,9,8,,
Ethiopia Gesha Village Illubabor Forest Lot 22/043 (Single-Terroir) Natural Process,Buon Caffe,94,"Taipei, Taiwan","Bench-Maji Zone, Southern Ethiopia",Light,64/84,NT $299/100 grams,December 2022,9,9,8,9,9,,
Ethiopia Gera Genji Challa,Mostra Coffee,94,"San Diego, California","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,59/77,$28.00/12 ounces,December 2022,9,9,9,9,8,,
Kenya Gotomboya Peaberry,Mostra Coffee,94,"San Diego, California","Nyeri growing region, south-central Kenya",Medium-Light,59/77,$27.00/12 ounces,December 2022,9,9,8,9,9,,
