coffee_name,coffee_review_url,coffee_brand_url,coffee_web_name
Mexico Alva Flores,https://www.coffeereview.com/review/mexico-alva-flores/,https://utopiancoffee.com/collections/coffee?filter.p.m.custom.roast_level=Coffee+Review&sort_by=manual&utm_source=coffeereview.com&utm_medium=referral,mexico-alva-flores
Mexico Olegario Finca La Cienaga,https://www.coffeereview.com/review/mexico-olegario-finca-la-cienaga/,https://utopiancoffee.com/collections/coffee?filter.p.m.custom.roast_level=Coffee+Review&sort_by=manual&utm_source=coffeereview.com&utm_medium=referral,mexico-olegario-finca-la-cienaga
Mexico Juan Carlos Nuevo Leon,https://www.coffeereview.com/review/mexico-juan-carlos-nuevo-leon/,https://utopiancoffee.com/collections/coffee?filter.p.m.custom.roast_level=Coffee+Review&sort_by=manual&utm_source=coffeereview.com&utm_medium=referral,mexico-juan-carlos-nuevo-leon
Anniversary Blend,https://www.coffeereview.com/review/anniversary-blend-4/,https://www.equatorcoffees.com/,anniversary-blend-4
Ethiopia Natural Sidama Blue Donkey Lot 2,https://www.coffeereview.com/review/ethiopia-natural-sidama-blue-donkey-lot-2/,http://www.kakalovecafe.com.tw/,ethiopia-natural-sidama-blue-donkey-lot-2
Trust the Process Costa Rica Finca Carrizal SL28 Black Diamond Natural,https://www.coffeereview.com/review/trust-the-process-costa-rica-finca-carrizal-sl28-black-diamond-natural/,https://www.redroostercoffee.com/collections/coffee,trust-the-process-costa-rica-finca-carrizal-sl28-black-diamond-natural
Guatemala Washed Finca El General Gesha,https://www.coffeereview.com/review/guatemala-washed-finca-el-general-gesha/,http://www.kakalovecafe.com.tw/,guatemala-washed-finca-el-general-gesha
Guatemala Finca El General Bourbon Honey Espresso,https://www.coffeereview.com/review/guatemala-honey-finca-el-general-gesha-espresso/,http://www.kakalovecafe.com.tw/,guatemala-honey-finca-el-general-gesha-espresso
True Love Espresso Blend,https://www.coffeereview.com/review/true-love-espresso-blend-2/,http://www.kakalovecafe.com.tw/,true-love-espresso-blend-2
Golden Parrot Espresso Blend,https://www.coffeereview.com/review/golden-parrot-espresso-blend/,http://www.kakalovecafe.com.tw/,golden-parrot-espresso-blend
Colombia Manos Juntas Anaerobic Natural,https://www.coffeereview.com/review/colombia-manos-juntas-anaerobic-natural/,https://www.intuitioncoffee.com/,colombia-manos-juntas-anaerobic-natural
Jaguar Espresso Blend,https://www.coffeereview.com/review/jaguar-espresso-blend/,https://www.equatorcoffees.com/,jaguar-espresso-blend
Ecuador La Papaya Geisha Natural,https://www.coffeereview.com/review/ecuador-la-papaya-geisha-natural/,https://utopiancoffee.com/collections/coffee?filter.p.m.custom.roast_level=Coffee+Review&sort_by=manual&utm_source=coffeereview.com&utm_medium=referral,ecuador-la-papaya-geisha-natural
Yemen Al Obrah,https://www.coffeereview.com/review/yemen-al-obrah/,https://utopiancoffee.com/collections/coffee?filter.p.m.custom.roast_level=Coffee+Review&sort_by=manual&utm_source=coffeereview.com&utm_medium=referral,yemen-al-obrah
Wilton Benitez Colombia Yellow Bourbon,https://www.coffeereview.com/review/wilton-benitez-colombia-yellow-bourbon/,https://www.jbccoffeeroasters.com/product-category/coffee/,wilton-benitez-colombia-yellow-bourbon
Kona Tropical Punch Washed,https://www.coffeereview.com/review/kona-tropical-punch-washed-2/,https://paradiseroasters.com/,kona-tropical-punch-washed-2
Colombia Chachagüí Mild Roast,https://www.coffeereview.com/review/colombia-chachagui-mild-roast-2/,https://www.rustydogcoffee.com/,colombia-chachagui-mild-roast-2
Murundo People’s Farm Rwanda,https://www.coffeereview.com/review/murundo-peoples-farm-rwanda-2/,https://www.jbccoffeeroasters.com/product-category/coffee/,murundo-peoples-farm-rwanda-2
Sochiapam Mexico,https://www.coffeereview.com/review/sochiapam-mexico/,https://www.jbccoffeeroasters.com/product-category/coffee/,sochiapam-mexico
Kenya Kirinyaga,https://www.coffeereview.com/review/kenya-kirinyaga-4/,https://www.redroostercoffee.com/collections/coffee,kenya-kirinyaga-4
