title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,coffee_name,coffee_review_url,coffee_brand_url,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD,Latitude,Longitude,January_Avg_Temp,January_Precipitation,July_Avg_Temp,July_Precipitation,Price per once
Ethiopia Sidamo Wild Rose Anaerobic Washed,Bargain Cafe,93,"Taitung, Taiwan","Sidamo growing region, south-central Ethiopia",Light,65/80,NT $360/200 grams,November 2023,9.0,9.0,8,9,8.0,,Ethiopia Sidamo Wild Rose Anaerobic Washed,https://www.coffeereview.com/review/ethiopia-sidamo-wild-rose-anaerobic-washed/,https://www.bargain-cafe.com/,1,0,0,0,0,0,$10.80/200 grams,22.7553667,121.1506,20.7,4.2,27.7,6.0,
Ethiopia Gediyo Yirgacheffe Chelbesa Premium Red Honey G1,Buon Caffe,93,"Taipei, Taiwan","Chelchele, Gedeb District, Gedeo Zone, Ethiopia",Light,65/82,NT $419/8 ounces,November 2023,9.0,8.0,9,9,8.0,,Ethiopia Gediyo Yirgacheffe Chelbesa Premium Red Honey G1,https://www.coffeereview.com/review/ethiopia-gediyo-yirgacheffe-chelbesa-premium-red-honey-g1/,https://www.buoncaffe.com.tw/,1,0,0,0,0,0,$12.57/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Ethiopia Sidamo Bensa Hamasho Washed G1,Buon Caffe,92,"Taipei, Taiwan","Sidamo growing region, south-central Ethiopia",Light,66/82,NT $399/8 ounces,November 2023,8.0,9.0,8,9,8.0,,Ethiopia Sidamo Bensa Hamasho Washed G1,https://www.coffeereview.com/review/ethiopia-sidamo-bensa-hamasho-washed-g1/,https://www.buoncaffe.com.tw/,1,0,0,0,0,0,$11.97/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Ecuador Clara Luz Washed,Buon Caffe,91,"Taipei, Taiwan","Quilanga, Loja Province, Ecuador",Medium-Light,58/76,NT $698/100 grams,November 2023,9.0,8.0,8,9,7.0,,Ecuador Clara Luz Washed,https://www.coffeereview.com/review/ecuador-clara-luz-washed/,https://www.buoncaffe.com.tw/,0,0,0,0,0,0,$20.94/100 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Kenya Rumukia FCS Maganjo,Hutu Cafe Roastery,93,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,58/75,NT $350/200 grams,November 2023,9.0,8.0,9,9,8.0,,Kenya Rumukia FCS Maganjo,https://www.coffeereview.com/review/kenya-rumukia-fcs-maganjo/,https://myship.7-11.com.tw/general/detail/GM2304046865328,1,0,0,0,0,0,$10.50/200 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Ethiopia Halo Hartume,Hutu Cafe Roastery,93,"Taipei, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,58/74,NT $400/200 grams,November 2023,9.0,9.0,8,9,8.0,,Ethiopia Halo Hartume,https://www.coffeereview.com/review/ethiopia-halo-hartume/,https://myship.7-11.com.tw/general/detail/GM2304046865328,1,0,0,0,0,0,$12.00/200 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Kenya AA TOP Gicherori,GK Coffee,97,"Yilan, Taiwan","Embu County, Kenya",Medium-Light,60/78,NT $550/200 grams,October 2023,9.0,10.0,9,10,9.0,,Kenya AA TOP Gicherori,https://www.coffeereview.com/review/kenya-aa-top-gicherori/,https://www.gkcoffee.com.tw,1,0,0,0,0,0,$16.50/200 grams,24.7519538,121.7533344,18.7,30.0,27.9,1.3,
Panama Carmen Geisha Washed Light Roast,GK Coffee,95,"Yilan, Taiwan","Paso Ancho, Panama",Light,62/82,"NT $12,500/100 grams",October 2023,9.0,9.0,9,9,9.0,,Panama Carmen Geisha Washed Light Roast,https://www.coffeereview.com/review/panama-carmen-geisha-washed-light-roast/,https://www.gkcoffee.com.tw,0,0,1,0,0,0,$375.00/100 grams,24.7519538,121.7533344,18.7,30.0,27.9,1.3,
Colombia Luna Azul,Roadmap CoffeeWorks,94,"Lexington, Virginia","Santa Bárbara, Antioquia, Colombia",Medium-Light,60/76,$28.00/12 ounces,October 2023,9.0,9.0,9,9,8.0,,Colombia Luna Azul,https://www.coffeereview.com/review/colombia-luna-azul/,https://roadmapcoffeeworks.com/,0,0,0,0,0,0,$28.00/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,
Mexico Los Aguacates,SkyTop Coffee,95,"Manlius, New York","Tenejapa, Chiapas, Mexico",Light,65/82,$42.00/12 ounces,October 2023,9.0,9.0,9,9,9.0,,Mexico Los Aguacates,https://www.coffeereview.com/review/mexico-los-aguacates/,http://bit.ly/37apemI,0,0,1,0,0,0,$42.00/12 ounces,43.0020107,-75.9768632,5.6,2.3,23.9,6.4,
Ethiopia Arbegona Natural 74158,David's Nose,95,"Taipei, Taiwan","Sidamo growing region, south-central Ethiopia",Light,64/80,NT $500/8 ounces,October 2023,9.0,9.0,9,9,9.0,,Ethiopia Arbegona Natural 74158,https://www.coffeereview.com/review/ethiopia-arbegona-natural-74158/,https://www.davidsnosecoffee.com/,1,0,0,0,0,0,$15.00/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Guatemala Nueva Granda Washed Laurina,David's Nose,94,"Taipei, Taiwan","San Marcos, Guatemala",Light,64/80,"NT $1,000/8 ounces",October 2023,9.0,9.0,9,9,8.0,,Guatemala Nueva Granda Washed Laurina,https://www.coffeereview.com/review/guatemala-nueva-granda-washed-laurina/,https://www.davidsnosecoffee.com/,0,0,1,0,0,0,$30.00/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Guatemala Atitlan,SkyTop Coffee,93,"Manlius, New York","Xojolá, Nahualá, Sololá, Guatemala",Light,66/82,$20.00/12 ounces,October 2023,9.0,9.0,8,9,8.0,,Guatemala Atitlan,https://www.coffeereview.com/review/guatemala-atitlan-4/,http://bit.ly/37apemI,0,0,1,0,0,0,$20.00/12 ounces,43.0020107,-75.9768632,5.6,2.3,23.9,6.4,
Peru Paltachayoc,SkyTop Coffee,93,"Manlius, New York","Paltachayoc, Santa Teresa, La Convención, Cusco, Peru",Medium-Light,58/77,$18.00/12 ounces,October 2023,9.0,8.0,9,9,8.0,,Peru Paltachayoc,https://www.coffeereview.com/review/peru-paltachayoc-2/,http://bit.ly/37apemI,0,0,0,0,0,0,$18.00/12 ounces,43.0020107,-75.9768632,5.6,2.3,23.9,6.4,
Mexico San Cristobal Decaf,SkyTop Coffee,91,"Manlius, New York","San Cristobal, Chiapas, Mexico",Medium-Light,58/64,$18.00/12 ounces,October 2023,8.0,8.0,8,9,8.0,,Mexico San Cristobal Decaf,https://www.coffeereview.com/review/mexico-san-cristobal-decaf/,http://bit.ly/37apemI,0,0,1,0,0,0,$18.00/12 ounces,43.0020107,-75.9768632,5.6,2.3,23.9,6.4,
Kona Mocca®,Hula Daddy Kona Coffee,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,58/74,$112.95/8 ounces,October 2023,9.0,9.0,9,9,9.0,,Kona Mocca®,https://www.coffeereview.com/review/kona-mocca-6/,http://bit.ly/2oBDGmP,0,0,0,1,0,0,$112.95/8 ounces,19.62946965,-155.91685535656885,17.2,0.1,18.5,6.4,
Kona Mocca®,Hula Daddy Kona Coffee,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,58/74,$112.95/8 ounces,October 2023,9.0,9.0,9,9,9.0,,Kona Mocca®,https://www.coffeereview.com/review/kona-mocca-5/,http://bit.ly/2oBDGmP,0,0,0,1,0,0,$112.95/8 ounces,19.62946965,-155.91685535656885,17.2,0.1,18.5,6.4,
Kona Mocca®,Hula Daddy Kona Coffee,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,58/74,$112.95/8 ounces,October 2023,9.0,9.0,9,9,9.0,,Kona Mocca®,https://www.coffeereview.com/review/kona-mocca-4/,http://bit.ly/2oBDGmP,0,0,0,1,0,0,$112.95/8 ounces,19.62946965,-155.91685535656885,17.2,0.1,18.5,6.4,
