title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity,coffee_name,coffee_review_url,coffee_brand_url,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD
Kenya Kiambu Maua Lot AB,Kakalove Cafe,94,"Chia-Yi, Taiwan","Kiambu growing region, south-central Kenya",Medium-Light,60/78,NT $325/8 ounces,October 2020,9.0,9.0,9,9,8.0,,,Kenya Kiambu Maua Lot AB,https://www.coffeereview.com/review/kenya-kiambu-maua-lot-ab/,http://www.kakalovecafe.com.tw/,1,0,0,0,0,0,$9.8/8 ounces
Kenya Thunguri AA,Klatch Coffee,94,"Los Angeles, California","Kirinyaga District, south-central Kenya",Medium-Light,58/80,$21.95/12 ounces,October 2020,9.0,9.0,9,9,8.0,,,Kenya Thunguri AA,https://www.coffeereview.com/review/kenya-thunguri-aa/,http://www.klatchcoffee.com,1,0,0,0,0,0,$21.95/12 ounces
Ethiopia Banko Gotiti,PT's Coffee Roasting Co.,94,"Topeka, Kansas","Kochere, Yirgacheffe growing region, south-central Ethiopia",Medium-Light,60/78,$19.50/12 ounces,October 2020,9.0,9.0,9,9,8.0,,,Ethiopia Banko Gotiti,https://www.coffeereview.com/review/ethiopia-banko-gotiti-5/,https://myship.7-11.com.tw/general/detail/GM2304046865328,1,0,0,0,0,0,$19.50/12 ounces
Ethiopia Banko Gotiti,PT's Coffee Roasting Co.,94,"Topeka, Kansas","Kochere, Yirgacheffe growing region, south-central Ethiopia",Medium-Light,60/78,$19.50/12 ounces,October 2020,9.0,9.0,9,9,8.0,,,Ethiopia Banko Gotiti,https://www.coffeereview.com/review/ethiopia-banko-gotiti-2/,https://www.ptscoffee.com,1,0,0,0,0,0,$19.50/12 ounces
Laura’s Reserve SL34,Hula Daddy Kona Coffee,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai'i",Medium-Light,60/78,$62.95/8 ounces,October 2020,9.0,9.0,9,9,9.0,,,Laura’s Reserve SL34,https://www.coffeereview.com/review/lauras-reserve-sl34-4/,http://bit.ly/2oBDGmP,0,0,0,1,0,0,$62.95/8 ounces
Laura’s Reserve SL34,Hula Daddy Kona Coffee,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai'i",Medium-Light,60/78,$62.95/8 ounces,October 2020,9.0,9.0,9,9,9.0,,,Laura’s Reserve SL34,https://www.coffeereview.com/review/lauras-reserve-sl34-3/,http://bit.ly/2oBDGmP,0,0,0,1,0,0,$62.95/8 ounces
Laura’s Reserve SL34,Hula Daddy Kona Coffee,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai'i",Medium-Light,60/78,$62.95/8 ounces,October 2020,9.0,9.0,9,9,9.0,,,Laura’s Reserve SL34,https://www.coffeereview.com/review/lauras-reserve-sl34-2/,http://bit.ly/2oBDGmP,0,0,0,1,0,0,$62.95/8 ounces
Laura’s Reserve SL34,Hula Daddy Kona Coffee,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai'i",Medium-Light,60/78,$62.95/8 ounces,October 2020,9.0,9.0,9,9,9.0,,,Laura’s Reserve SL34,https://www.coffeereview.com/review/lauras-reserve-sl34/,http://bit.ly/2oBDGmP,0,0,0,1,0,0,$62.95/8 ounces
Kona Pumpkin Spice Anaerobic,Paradise Roasters,93,"Minneapolis, Minnesota","Kona, Big Island of Hawai’i",Medium-Light,58/76,$24.95/4 ounces,September 2020,9.0,8.0,9,9,8.0,,,Kona Pumpkin Spice Anaerobic,https://www.coffeereview.com/review/kona-pumpkin-spice-anaerobic/,https://paradiseroasters.com/,0,0,0,1,0,0,$24.95/4 ounces
Thailand Doi Pangkhon Dark Roast,Paradise Roasters,92,"Minneapolis, Minnesota","Doi Pangkhon, Thailand",Medium,49/63,$18.95/12 ounces,September 2020,9.0,8.0,8,9,8.0,,,Thailand Doi Pangkhon Dark Roast,https://www.coffeereview.com/review/thailand-doi-pangkhon-dark-roast/,https://paradiseroasters.com/,0,0,0,0,1,0,$18.95/12 ounces
Ethiopia Reko Yirgacheffe,Temple Coffee Roasters,94,"Sacramento, California","Yirgacheffe growing region, Ethiopia",Medium-Light,60/76,$20.50/12 ounces,September 2020,9.0,9.0,9,9,8.0,,,Ethiopia Reko Yirgacheffe,https://www.coffeereview.com/review/ethiopia-reko-yirgacheffe-4/,https://www.templecoffee.com,1,0,0,0,0,0,$20.50/12 ounces
